dog breed name:Samoyed, size:Medium, slug:samoyed
dog breed name:American Staffordshire Terrier, size:Medium, slug:american-staffordshire-terrier
dog breed name:Border Collie, size:Medium, slug:border-collie
dog breed name:Basset Hound, size:Medium, slug:basset-hound
dog breed name:Bull Terrier, size:Medium, slug:bull-terrier
dog breed name:Pointer, size:Medium, slug:pointer
dog breed name:Portuguese Water Dog, size:Medium, slug:portuguese-water-dog
dog breed name:Shetland Sheepdog, size:Medium, slug:shetland-sheepdog
dog breed name:Whippet, size:Medium, slug:whippet
dog breed name:German Spitz, size:Medium, slug:german-spitz
dog breed name:Wirehaired Pointing Griffon, size:Medium, slug:wirehaired-pointing-griffon
dog breed name:Stabyhoun, size:Medium, slug:stabyhoun
dog breed name:Kooikerhondje, size:Medium, slug:kooikerhondje
dog breed name:Norwegian Buhund, size:Medium, slug:norwegian-buhund
dog breed name:Kai Ken, size:Medium, slug:kai-ken
dog breed name:Karelian Bear Dog, size:Medium, slug:karelian-bear-dog
dog breed name:Pyrenean Shepherd, size:Medium, slug:pyrenean-shepherd
dog breed name:Jagdterrier, size:Medium, slug:jagdterrier
dog breed name:Hanoverian Scenthound, size:Medium, slug:hanoverian-scenthound
dog breed name:Pudelpointer, size:Medium, slug:pudelpointer
dog breed name:Slovensky Kopov, size:Medium, slug:slovensky-kopov
dog breed name:Segugio Italiano, size:Medium, slug:segugio-italiano
dog breed name:Norwegian Elkhound, size:Medium, slug:norwegian-elkhound
dog breed name:Bearded Collie, size:Medium, slug:bearded-collie
dog breed name:Welsh Terrier, size:Medium, slug:welsh-terrier
dog breed name:Pharaoh Hound, size:Medium, slug:pharaoh-hound
dog breed name:Petit Basset Griffon Vendéen, size:Medium, slug:petit-basset-griffon-venden
dog breed name:Nova Scotia Duck Tolling Retriever, size:Medium, slug:nova-scotia-duck-tolling-retriever
dog breed name:Glen of Imaal Terrier, size:Medium, slug:glen-of-imaal-terrier
dog breed name:Lapponian Herder, size:Medium, slug:lapponian-herder
dog breed name:Norwegian Lundehund, size:Medium, slug:norwegian-lundehund
dog breed name:Redbone Coonhound, size:Medium, slug:redbone-coonhound
dog breed name:Rat Terrier, size:Medium, slug:rat-terrier
dog breed name:Ibizan Hound, size:Medium, slug:ibizan-hound
dog breed name:Indian Pariah Dog, size:Medium, slug:indian-pariah-dog
dog breed name:Deutscher Wachtelhund, size:Medium, slug:deutscher-wachtelhund
dog breed name:Canaan Dog, size:Medium, slug:canaan-dog
dog breed name:Australian Cattle Dog, size:Medium, slug:australian-cattle-dog
dog breed name:Dutch Shepherd, size:Medium, slug:dutch-shepherd
dog breed name:Shikoku, size:Medium, slug:shikoku
dog breed name:Basenji, size:Medium, slug:basenji
dog breed name:Pandikona, size:Medium, slug:pandikona
dog breed name:Brittany, size:Medium, slug:brittany
dog breed name:Barbet, size:Medium, slug:barbet
dog breed name:Carolina Dog, size:Medium, slug:carolina-dog
dog breed name:Polish Lowland Sheepdog, size:Medium, slug:polish-lowland-sheepdog
dog breed name:Irish Red And White Setter, size:Medium, slug:irish-red-and-white-setter
dog breed name:Harrier, size:Medium, slug:harrier
dog breed name:Tibetan Terrier, size:Medium, slug:tibetan-terrier
dog breed name:Field Spaniel, size:Medium, slug:field-spaniel
dog breed name:Finnish Spitz, size:Medium, slug:finnish-spitz
dog breed name:Korean Jindo Dog, size:Medium, slug:korean-jindo-dog
dog breed name:Xoloitzcuintli, size:Medium, slug:xoloitzcuintli
dog breed name:Labradoodle, size:Medium, slug:labradoodle
dog breed name:Kromfohrlander, size:Medium, slug:kromfohrlander
dog breed name:Schnoodle, size:Medium, slug:schnoodle
dog breed name:Cavachon, size:Medium, slug:cavachon
dog breed name:Swedish Vallhund, size:Medium, slug:swedish-vallhund
dog breed name:Chug, size:Medium, slug:chug
dog breed name:Irish Terrier, size:Medium, slug:irish-terrier
dog breed name:Eurasier, size:Medium, slug:eurasier
dog breed name:Taiwan Dog, size:Medium, slug:taiwan-dog
dog breed name:Soft Coated Wheaten Terrier, size:Medium, slug:soft-coated-wheaten-terrier
dog breed name:Swedish Lapphund, size:Medium, slug:swedish-lapphund
dog breed name:Chinese Shar-Pei, size:Medium, slug:chinese-shar-pei
dog breed name:Vizsla, size:Medium, slug:vizsla
dog breed name:Transylvanian Hound, size:Medium, slug:transylvanian-hound
dog breed name:Yakutian Laika, size:Medium, slug:yakutian-laika
dog breed name:Working Kelpie, size:Medium, slug:working-kelpie
dog breed name:Keeshond, size:Medium, slug:keeshond
dog breed name:Finnish Lapphund, size:Medium, slug:finnish-lapphund
dog breed name:Kerry Blue Terrier, size:Medium, slug:kerry-blue-terrier
dog breed name:Icelandic Sheepdog, size:Medium, slug:icelandic-sheepdog
dog breed name:French Spaniel, size:Medium, slug:french-spaniel
dog breed name:Hokkaido, size:Medium, slug:hokkaido
dog breed name:English Springer Spaniel, size:Medium, slug:english-springer-spaniel
dog breed name:Lagotto Romagnolo, size:Medium, slug:lagotto-romagnolo
dog breed name:Welsh Springer Spaniel, size:Medium, slug:welsh-springer-spaniel
dog breed name:Mountain Cur, size:Medium, slug:mountain-cur
dog breed name:Croatian Sheepdog, size:Medium, slug:croatian-sheepdog
dog breed name:Spanish Water Dog, size:Medium, slug:spanish-water-dog
dog breed name:Kishu Ken, size:Medium, slug:kishu-ken
dog breed name:Thai Ridgeback, size:Medium, slug:thai-ridgeback
dog breed name:Sussex Spaniel, size:Medium, slug:sussex-spaniel
dog breed name:Puggle, size:Medium, slug:puggle
dog breed name:Silken Windhound, size:Medium, slug:silken-windhound
